Rank,Brand,Category,Main City,Website,Instagram,Facebook,X (Twitter),Status/Notes
1,Khaadi,Fashion,Karachi,https://www.khaadi.com,https://www.instagram.com/khaadi/ (6M followers),https://www.facebook.com/khaadi/ (run by Khaadi Pakistan SMC-Pvt Ltd),Not found,Confirmed - IG/FB verified official
2,Sapphire,Fashion,Lahore,https://pk.sapphireonline.pk,https://www.instagram.com/sapphirepakistan/ (2.9M followers),https://www.facebook.com/sapphireofficial/ (2M likes),Not found,Confirmed - IG/FB verified official
3,Gul Ahmed,Fashion,Karachi,https://www.gulahmedshop.com,Not confirmed (only sub-accounts found e.g. Gul Ahmed Men),https://www.facebook.com/GulahmedFashion/ (2.99M likes - links to gulahmedshop.com),https://x.com/GulahmedFashion (10K followers),Partially confirmed - FB/X yes
4,Nishat Linen,Fashion,Lahore,https://nishatlinen.com,https://www.instagram.com/nishatlinen/ (3M followers),https://www.facebook.com/NishatLinen/ (2.5M likes - links to nishatlinen.com),Not found,Confirmed - IG/FB verified official
5,Bonanza Satrangi,Fashion,Lahore,https://bonanzasatrangi.com,https://www.instagram.com/bonanzaofficial/ (3M followers),https://www.facebook.com/bonanzagt/ (2.6M likes - links to bonanzasatrangi.com),Not found,Confirmed - IG/FB verified official
6,Alkaram Studio,Fashion,Karachi,https://www.alkaramstudio.com,https://www.instagram.com/official.alkaram/,https://www.facebook.com/OfficialAlkaram/,Not checked,Confirmed prior session - IG/FB
7,Junaid Jamshed (J.),Fashion,Islamabad,https://www.junaidjamshed.com,https://www.instagram.com/j.junaidjamshed/,https://www.facebook.com/j.junaidjamshed/,Not checked,Confirmed prior session - IG/FB
8,Sana Safinaz,Fashion,Karachi,https://sanasafinaz.com,Not verified,Not verified,Not found,Verified live (prior batch)
9,Outfitters,Fashion,Lahore,https://outfitters.com.pk,https://www.instagram.com/outfitters_pk/ (2M followers),https://www.facebook.com/outfitterspk/ (2.7M likes),Not found,Confirmed - IG/FB verified official
10,Breakout,Fashion,Lahore,https://www.breakout.com.pk,https://www.instagram.com/breakoutpakistan/,Not checked this pass,Not checked,IG confirmed; FB pending
11,Edenrobe,Fashion,Karachi,https://edenrobe.com,https://www.instagram.com/edenrobe/ (per official Linktree),https://www.facebook.com/edenrobe/ (1.69M likes - links to edenrobe.com),Not found,Confirmed - IG/FB verified official
12,Leisure Club,Fashion,Lahore,https://www.leisureclub.pk,Not checked this pass,https://www.facebook.com/leisureclubpk/,Not checked,FB confirmed; IG pending
13,Chinyere,Fashion,Lahore,https://chinyere.pk,Not verified,Not verified,Not found,Not verified this pass
14,Maria B,Fashion,Lahore,https://mariab.pk,Not verified,Not verified,Not found,Not verified this pass
15,Zellbury,Fashion,Lahore,https://zellbury.com,https://www.instagram.com/zellbury/ (2M followers),https://www.facebook.com/Zellbury/ (969K likes),Not found,Confirmed - IG/FB verified official
16,Ego,Fashion,Lahore,https://wearego.com,https://www.instagram.com/wear.ego/ (1M followers),https://www.facebook.com/wear.your.ego/ (1.64M likes - uses cs@wearego.com),https://x.com/wear_ego,Confirmed - IG/FB/X verified official
17,Limelight,Fashion,Lahore,https://www.limelight.pk,https://www.instagram.com/limelight.pret/ (5M followers),https://www.facebook.com/limelight.pret/ (2.3M likes - links to limelight.pk),Not found,Confirmed - IG/FB verified official
18,Beechtree,Fashion,Lahore,https://beechtree.pk,https://www.instagram.com/beechtree_pk/ (3M followers),https://www.facebook.com/beechtreepk/ (1.27M likes),Not found,Confirmed - IG/FB verified official
19,Sifona,Fashion,Karachi,https://www.sifona.com,https://www.instagram.com/sifonacollections/,https://www.facebook.com/sifonacollections/ (719K likes),Not found,Confirmed - IG/FB verified official (note: same handle for both)
20,Diners,Fashion,Karachi,https://diners.com.pk,Linked from site but exact handle not independently confirmed,https://www.facebook.com/Diners/ (738K likes),https://x.com/the_diners_shop (small/inactive - low confidence),FB confirmed; IG needs manual check
21,Charcoal,Fashion,Lahore,https://charcoal.com.pk,https://www.instagram.com/charcoal.official/ (418K followers),https://www.facebook.com/charcoal.officialpage/ (672K likes),Not found,Confirmed - IG/FB verified official
22,Bareeze,Fashion,Lahore,https://bareeze.com,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
23,Firdous,Fashion,Faisalabad,https://firdous.com,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
24,Warda,Fashion,Lahore,https://warda.com.pk,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
25,Republic by Omar Farooq,Fashion,Lahore,https://republic.com.pk,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
26,Cambridge,Fashion,Lahore,https://cambridge.com.pk,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
27,Cotton Ginny,Fashion,Lahore,https://cottonginny.pk,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
28,Kayseria,Fashion,Lahore,https://kayseria.com,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
29,Shahnameh,Fashion,Lahore,https://sefam.com/pages/shahnameh,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
30,Generation,Fashion,Lahore,https://generation.com.pk,https://www.instagram.com/generation_pk/ (2M followers),https://www.facebook.com/generationpk/ (1.03M likes - explicitly links to IG),Not verified this pass,Confirmed - IG/FB verified official
31,Amir Adnan,Fashion,Islamabad,https://www.amiradnan.com,https://www.instagram.com/amiradnanofficial/ (204K followers),https://www.facebook.com/amiradnanofficial/,Not found,Confirmed - IG/FB verified official
32,Élan,Fashion,Lahore,https://elan.pk,Not verified,Not verified,Not found,Not verified this pass
33,Rastah,Fashion,Lahore,https://pk.rastah.co,https://www.instagram.com/rastahofficial/ (313K followers),https://www.facebook.com/rastahofficial/ (22K likes),Not found,Confirmed - IG/FB verified official
34,LAMA,Fashion,Lahore,https://pk.lamaretail.com,https://www.instagram.com/lamaretail/,Not checked this pass,Not checked,IG confirmed; FB pending
35,Insignia,Fashion/Footwear,Lahore,https://insignia.com.pk,https://www.instagram.com/insignia_shoes/ (1M followers),https://www.facebook.com/InsigniaShoes/ (1.03M likes),Not found,Confirmed - IG/FB verified official
36,Bata Pakistan,Footwear,Lahore,https://www.bata.com.pk,https://www.instagram.com/batapk/ (317K followers),https://www.facebook.com/BataHomePK (9.7M likes),https://twitter.com/BataPakistanLtd,Confirmed via Bata's own LinkedIn listing - IG/FB/X
37,Servis,Footwear,Lahore,https://servis.pk,https://www.instagram.com/servis.shoes/,https://www.facebook.com/Servis.Shoes/,Not checked,Confirmed prior session - IG/FB
38,Stylo Shoes,Footwear,Lahore,https://stylo.pk,https://www.instagram.com/stylopk/ (3M followers),https://www.facebook.com/StyloShoes/ (2.78M likes),Not found,Confirmed - IG/FB verified official
39,Metro Shoes,Footwear,Karachi,https://www.metroshoes.com.pk,Not checked this pass,https://www.facebook.com/metroshoesofficial/,Not checked,FB confirmed; IG pending
40,Borjan,Footwear,Lahore,https://www.borjan.com.pk,https://www.instagram.com/borjanshoes/ (per Borjan's official Aftership listing),https://www.facebook.com/BorjanShoes/ (1.49M likes),Not found,Confirmed - IG/FB verified official
41,Ndure,Footwear,Lahore,https://ndure.com,https://www.instagram.com/ndurepakistan/,https://www.facebook.com/NDUREPakistan/ (1.02M likes),https://x.com/NdurePakistan (links to ndure.com),Confirmed - IG/FB/X verified official
42,Hush Puppies Pakistan,Footwear,Lahore,https://www.hushpuppies.com.pk,https://www.instagram.com/hushpuppiespakistan/ (278K followers),https://www.facebook.com/HushPuppiesPakistan/ (890K likes - run by Firhaj Footwear),https://x.com/hushpuppiespak,Confirmed - IG/FB/X verified official
43,Cougar,Footwear,Lahore,https://cougar.com.pk,https://www.instagram.com/cougar.clothing/ (498K followers),https://www.facebook.com/cougar.clothing/ (696K likes),Not found,Confirmed - IG/FB verified official
44,Hub,Footwear,Karachi,https://hub.com.pk,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
45,Chase Value,Footwear,Karachi,https://chasevalue.com,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
46,English Boot House,Footwear,Karachi,https://englishboothouse.com,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
47,Cheezious,Food,Lahore,https://www.cheezious.com,https://www.instagram.com/cheeziouspakistan/ (173K followers),https://www.facebook.com/Cheezious/ (uses cheezious.com),https://x.com/cheeziouspak,Confirmed - IG/FB/X verified official
48,Broadway Pizza,Food,Karachi,https://www.broadwaypizza.com.pk,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
49,Student Biryani,Food,Karachi,https://studentbiryani.com,Not verified this pass,Not verified this pass,Not verified this pass,Not verified this pass
50,Bundu Khan,Food,Karachi,https://bundukhan.com,See notes,See notes,Not verified this pass,"Two different chains found: Al-Haaj Bundoo Khan (IG @bundookhanpk 17K, FB facebook.com/bundookhanpk, site alhaajbundookhan.com) vs Bundu Khan Sweets & Bakers (IG @bundukhanpk). Confirm which one before using."
51,Kababjees,Food,Karachi,https://kababjees.com,https://www.instagram.com/kababjees.official/ (95K followers),https://www.facebook.com/kababjees/ (274K likes),Not found,Confirmed - IG/FB verified official
52,Ginsoy,Food,Karachi,https://www.ginsoy.com,https://www.instagram.com/ginsoyextreme/ (52K followers - uses info@ginsoy.com),https://www.facebook.com/Ginsoy/,Not found,Confirmed - IG/FB verified official
53,Nirala Sweets,Food,Lahore,https://nirala.com,Not confidently verified - multiple small/inconsistent accounts,https://www.facebook.com/niralasweets/ (only 6.1K likes - low confidence),Not found,"Flagged: Wikipedia lists original Nirala Sweets company as bankrupt/defunct since 2016, but nirala.com is live. No dominant official social account found. Needs manual verification."
